Neon + Tile test f32: Loop-5, M-128, P-128, N-128
Correct
  Ti   Tj   Tk   Time
  48  128    0   0.00277249
  48  128   16   0.00174811 recorded
  48  128   32   0.00170669 recorded
  48  128   48   0.00217895
  48  128   64   0.00253279
  48  128   80   0.00248071
  48  128   96   0.00256156
  48  128  112   0.00271382
  48  128  128   0.0027737
  52   16    0   0.00280074
  52   16   16   0.00198918
  52   16   32   0.00188912
  52   16   48   0.00231073
  52   16   64   0.00263551
  52   16   80   0.00260308
  52   16   96   0.00266207
  52   16  112   0.00281249
  52   16  128   0.00283834
  52   32    0   0.00278611
  52   32   16   0.00186181
  52   32   32   0.00181263
  52   32   48   0.00226382
  52   32   64   0.00260195
  52   32   80   0.00254441
  52   32   96   0.00261928
  52   32  112   0.00276797
  52   32  128   0.00280659
  52   48    0   0.00279176
  52   48   16   0.00182554
  52   48   32   0.0017834
  52   48   48   0.00223676
  52   48   64   0.00259281
  52   48   80   0.00253416
  52   48   96   0.00260168
  52   48  112   0.00275486
  52   48  128   0.00280072
  52   64    0   0.00278291
  52   64   16   0.0018114
  52   64   32   0.00175336 recorded
  52   64   48   0.00221401
  52   64   64   0.00256245
  52   64   80   0.00250873
  52   64   96   0.00258408
  52   64  112   0.00274003
  52   64  128   0.00278405
  52   80    0   0.00278172
  52   80   16   0.00180221
  52   80   32   0.00175259 recorded
  52   80   48   0.00220828
  52   80   64   0.0025602
  52   80   80   0.00251348
  52   80   96   0.00258043
  52   80  112   0.00273909
  52   80  128   0.00278786
  52   96    0   0.00277476
  52   96   16   0.00180556
  52   96   32   0.00175204 recorded
  52   96   48   0.00221703
  52   96   64   0.00256943
  52   96   80   0.00251258
  52   96   96   0.00258995
  52   96  112   0.00273832
  52   96  128   0.0027913
  52  112    0   0.0027843
  52  112   16   0.00180444
  52  112   32   0.00175194 recorded
  52  112   48   0.0022083
  52  112   64   0.00255714
  52  112   80   0.00251527
  52  112   96   0.00258795
  52  112  112   0.00274389
  52  112  128   0.0027899
  52  128    0   0.00277324
  52  128   16   0.00175177 recorded
  52  128   32   0.00170598 recorded
  52  128   48   0.00217888
  52  128   64   0.00252831
  52  128   80   0.00248392
  52  128   96   0.00256131
  52  128  112   0.00271328
  52  128  128   0.00277476
  56   16    0   0.00280899
  56   16   16   0.00200478
  56   16   32   0.00190348
  56   16   48   0.00232786
  56   16   64   0.00267528
  56   16   80   0.00261945
  56   16   96   0.00267489
  56   16  112   0.00282782
  56   16  128   0.00284753
  56   32    0   0.00278728
  56   32   16   0.00186339
  56   32   32   0.00181704
  56   32   48   0.00226723
  56   32   64   0.00260952
  56   32   80   0.00255268
  56   32   96   0.00262322
  56   32  112   0.00277236
  56   32  128   0.00280822
  56   48    0   0.00278538
  56   48   16   0.00182458
  56   48   32   0.00178598
  56   48   48   0.00223867
  56   48   64   0.00259731
  56   48   80   0.00253697
  56   48   96   0.00260089
  56   48  112   0.0027573
  56   48  128   0.00282901
  56   64    0   0.00277847
  56   64   16   0.00181331
  56   64   32   0.00175425 recorded
  56   64   48   0.0022213
  56   64   64   0.00256339
  56   64   80   0.00253645
  56   64   96   0.00260981
  56   64  112   0.00274211
  56   64  128   0.00278478
  56   80    0   0.00278145
  56   80   16   0.00179906
  56   80   32   0.00175398 recorded
  56   80   48   0.00221005
  56   80   64   0.00257052
  56   80   80   0.00251566
  56   80   96   0.00258035
  56   80  112   0.00273903
  56   80  128   0.00278738
  56   96    0   0.00277574
  56   96   16   0.00180244
